,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Prince Rupert,CA,54.3161,-130.3201,53.69,100,100,3.44,moderate rain
1,Puerto Ayora,EC,-0.7393,-90.3518,69.55,95,99,8.99,overcast clouds
2,Luderitz,NA,-26.6481,15.1594,69.24,27,0,8.77,clear sky
3,Bluff,NZ,-46.6,168.3333,47.26,75,95,22.93,overcast clouds
4,Isla Vista,US,34.4133,-119.861,92.37,29,1,4.14,clear sky
5,Lebu,CL,-37.6167,-73.65,44.26,82,26,2.64,scattered clouds
6,Qaanaaq,GL,77.484,-69.3632,51.3,60,76,8.3,broken clouds
7,Upernavik,GL,72.7868,-56.1549,47.48,64,13,2.62,few clouds
8,Alghero,IT,40.5589,8.3181,66.29,100,0,1.14,clear sky
9,Yellowknife,CA,62.456,-114.3525,64.09,54,56,9.42,broken clouds
10,Leningradskiy,RU,69.3833,178.4167,44.69,66,100,8.48,overcast clouds
11,Albany,US,42.6001,-73.9662,70.45,70,64,2.86,broken clouds
12,Mataura,NZ,-46.1927,168.8643,43.72,77,82,5.39,broken clouds
13,Carnarvon,AU,-24.8667,113.6333,69.31,44,1,10.83,clear sky
14,Punta Arenas,CL,-53.15,-70.9167,24.91,93,40,11.5,scattered clouds
15,Ilulissat,GL,69.2167,-51.1,39.22,100,100,3.44,fog
16,Olafsvik,IS,64.8945,-23.7142,50.88,89,100,19.39,light rain
17,Butaritari,KI,3.0707,172.7902,80.19,83,100,14.88,moderate rain
18,Chokurdakh,RU,70.6333,147.9167,47.23,78,100,13.09,overcast clouds
19,Vanimo,PG,-2.6741,141.3028,82.67,77,85,6.8,overcast clouds
20,Castro,BR,-24.7911,-50.0119,61.21,66,100,5.03,overcast clouds
21,Jamestown,US,42.097,-79.2353,63.99,68,100,1.25,overcast clouds
22,Tura,IN,25.5198,90.2201,80.64,84,6,4.83,clear sky
23,Carrollton,US,32.9537,-96.8903,94.41,42,20,12.66,few clouds
24,Urumqi,CN,43.801,87.6005,77.95,24,0,2.24,clear sky
25,Saint George,US,37.1041,-113.5841,103.42,19,0,8.05,clear sky
26,Busselton,AU,-33.65,115.3333,59.36,69,100,6.13,overcast clouds
27,San Miguel,SV,13.4833,-88.1833,76.19,90,100,3.0,overcast clouds
28,Provideniya,RU,64.3833,-173.3,50.52,60,45,6.62,scattered clouds
29,Nikolskoye,RU,59.7035,30.7861,57.09,95,61,6.89,broken clouds
30,Rikitea,PF,-23.1203,-134.9692,67.68,87,100,13.24,moderate rain
31,San Joaquin,US,37.9333,-121.3011,93.45,28,0,10.36,clear sky
32,Mangrol,IN,21.1167,70.1167,81.52,88,96,25.84,overcast clouds
33,Dorchester,US,33.1002,-80.3831,79.92,99,0,0.0,clear sky
34,Tambo,PE,-14.8,-73.9167,31.87,52,6,2.62,clear sky
35,Maceio,BR,-9.6658,-35.7353,76.44,83,75,3.44,broken clouds
36,Alugan,PH,12.2188,125.4808,85.57,66,36,3.65,scattered clouds
37,Kavaratti,IN,10.5669,72.642,81.45,79,87,16.26,overcast clouds
38,Bambous Virieux,MU,-20.3428,57.7575,70.21,75,98,16.69,light rain
39,Hualmay,PE,-11.0964,-77.6139,60.66,83,11,12.01,few clouds
40,Ngama,TD,11.7833,17.1667,75.51,84,100,3.62,light rain
41,Sur,OM,22.5667,59.5289,85.5,78,100,7.18,overcast clouds
42,Port Elizabeth,ZA,-33.918,25.5701,56.32,73,100,6.35,overcast clouds
43,Diamantino,BR,-14.4086,-56.4461,74.52,50,100,2.75,overcast clouds
44,Hambantota,LK,6.1241,81.1185,80.55,76,100,16.42,overcast clouds
45,Bengkulu,ID,-3.8004,102.2655,79.45,81,100,1.99,overcast clouds
46,Oistins,BB,13.0667,-59.5333,82.49,78,75,16.11,broken clouds
47,Ancud,CL,-41.8697,-73.8203,40.23,79,0,2.73,clear sky
48,Seoul,KR,37.5683,126.9778,80.04,61,7,4.47,clear sky
49,Itoman,JP,26.1247,127.6694,88.57,86,75,9.22,light intensity shower rain
50,Cockburn Town,TC,21.4612,-71.1419,81.68,87,84,20.98,broken clouds
51,Barda,AZ,40.3744,47.1267,72.34,68,0,2.24,clear sky
52,Arraial Do Cabo,BR,-22.9661,-42.0278,71.01,83,69,26.91,broken clouds
53,Kaitangata,NZ,-46.2817,169.8464,46.74,63,31,11.63,scattered clouds
54,Boa Vista,BR,2.8197,-60.6733,76.98,83,0,4.61,clear sky
55,Hithadhoo,MV,-0.6,73.0833,83.17,75,64,13.58,broken clouds
56,San Rafael,AR,-34.6177,-68.3301,38.52,73,100,8.14,light rain
57,Kapaa,US,22.0752,-159.319,84.18,69,0,14.97,clear sky
58,Tabou,CI,4.423,-7.3528,73.98,90,100,9.37,light rain
59,New Norfolk,AU,-42.7826,147.0587,51.93,73,100,5.5,overcast clouds
60,Hermanus,ZA,-34.4187,19.2345,52.81,74,80,8.1,broken clouds
61,Saint-Philippe,RE,-21.3585,55.7679,64.22,86,58,11.48,light rain
62,Jibuti,DJ,11.5,42.5,83.62,44,99,9.91,overcast clouds
63,Port Alfred,ZA,-33.5906,26.891,58.26,74,100,9.42,overcast clouds
64,Brae,GB,60.3964,-1.353,48.51,80,10,5.66,clear sky
65,Sorong,ID,-0.8833,131.25,82.96,74,84,7.2,broken clouds
66,Santona,ES,43.4439,-3.4576,72.59,55,100,7.18,overcast clouds
67,Mar Del Plata,AR,-38.0023,-57.5575,50.88,95,100,7.0,overcast clouds
68,Nanortalik,GL,60.1432,-45.2371,40.5,92,100,10.09,overcast clouds
69,Dum Duma,IN,27.5667,95.5667,85.26,83,15,0.51,few clouds
70,Komsomolskiy,UZ,40.4272,71.7189,83.12,28,0,0.0,clear sky
71,Schleswig,DE,54.5167,9.55,57.76,95,53,3.0,broken clouds
72,Monster,NL,52.0258,4.175,65.95,73,7,7.0,clear sky
73,Nikita,UA,44.5333,34.2333,62.11,48,0,8.08,clear sky
74,Ushuaia,AR,-54.8,-68.3,37.06,52,20,16.11,few clouds
75,Sinnamary,GF,5.3833,-52.95,77.07,89,85,6.73,overcast clouds
76,Airai,TL,-8.9266,125.4092,67.35,54,100,2.91,overcast clouds
77,Jasidih,IN,24.5167,86.65,84.9,67,6,13.11,clear sky
78,Zhigansk,RU,66.7697,123.3711,59.85,52,8,19.28,clear sky
79,Norwich,GB,52.6278,1.2983,57.22,88,5,2.3,clear sky
80,Vaini,TO,-21.2,-175.2,80.76,89,20,9.22,few clouds
81,Paita,PE,-5.0892,-81.1144,63.27,80,0,19.55,clear sky
82,Dunedin,NZ,-45.8742,170.5036,50.81,43,51,8.01,broken clouds
83,Galesburg,US,40.9478,-90.3712,74.01,88,100,6.91,overcast clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,40.93,70,17,6.51,few clouds
85,Namtsy,RU,62.7161,129.6658,81.68,53,91,2.8,overcast clouds
86,Kulhudhuffushi,MV,6.6221,73.07,81.95,76,43,9.22,scattered clouds
87,Mayo,US,38.8876,-76.5119,79.27,82,5,4.97,clear sky
88,Sorland,NO,67.667,12.6934,49.86,84,100,10.58,overcast clouds
89,Bay Roberts,CA,47.5999,-53.2648,63.52,95,1,6.55,clear sky
90,Huarmey,PE,-10.0681,-78.1522,61.59,86,9,11.9,clear sky
91,Toamasina,MG,-18.1667,49.3833,66.7,92,80,8.05,light rain
92,Georgetown,MY,5.4112,100.3354,85.89,81,20,3.44,few clouds
93,Hobart,AU,-42.8794,147.3294,52.27,78,100,6.91,light rain
94,Ribeira Grande,PT,38.5167,-28.7,69.66,90,4,7.56,clear sky
95,Avarua,CK,-21.2078,-159.775,77.05,65,75,16.11,light rain
96,Bredasdorp,ZA,-34.5322,20.0403,50.32,88,95,4.14,overcast clouds
97,Palmer,US,42.1584,-72.3287,71.15,75,0,4.61,clear sky
98,Sao Joaquim,BR,-28.2939,-49.9317,59.25,74,100,7.11,overcast clouds
99,Ayagoz,KZ,47.9714,80.4392,78.12,28,6,1.66,clear sky
100,Khuzhir,RU,53.1939,107.3397,55.49,77,41,2.89,scattered clouds
101,Atuona,PF,-9.8,-139.0333,77.2,74,4,12.46,clear sky
102,Noumea,NC,-22.2763,166.4572,73.99,99,2,14.36,clear sky
103,Haines Junction,CA,60.7522,-137.5108,60.39,66,100,2.39,light rain
104,Tomatlan,MX,19.9333,-105.25,77.36,92,100,3.47,overcast clouds
105,Aberystwyth,GB,52.4155,-4.0829,48.7,89,92,2.64,overcast clouds
106,Mana,GF,5.6592,-53.7767,76.3,91,85,5.95,overcast clouds
107,Haimen,CN,23.1935,116.6142,87.48,72,98,15.57,overcast clouds
108,Ada,US,43.4166,-116.1262,96.15,16,0,8.01,clear sky
109,Faanui,PF,-16.4833,-151.75,76.41,71,10,23.67,light rain
110,Pierre,US,44.3683,-100.351,85.86,71,0,8.01,clear sky
111,Ust-Ishim,RU,57.6935,71.1665,64.65,75,34,4.03,scattered clouds
112,Reconquista,AR,-29.15,-59.65,56.64,91,95,14.94,overcast clouds
113,Dikson,RU,73.5069,80.5464,43.61,81,16,11.21,few clouds
114,Charters Towers,AU,-20.1,146.2667,69.04,54,74,18.43,broken clouds
115,Saldanha,ZA,-33.0117,17.9442,57.65,68,9,6.06,clear sky
116,Kahului,US,20.8947,-156.47,84.22,68,40,20.71,scattered clouds
117,Skegness,GB,53.1436,0.3363,59.58,88,6,6.73,clear sky
118,Pakokku,MM,21.3333,95.1,86.5,63,17,7.4,few clouds
119,Clyde River,CA,70.4692,-68.5914,50.22,51,88,7.16,overcast clouds
120,Bethel,US,41.3712,-73.414,72.64,74,21,2.68,few clouds
121,Sistranda,NO,63.7256,8.834,49.96,78,100,20.04,overcast clouds
122,Dharchula,IN,29.85,80.5333,78.3,74,28,2.06,scattered clouds
123,Barrow,US,71.2906,-156.7887,37.42,87,100,10.36,overcast clouds
124,Khatanga,RU,71.9667,102.5,62.92,44,97,4.29,overcast clouds
125,Hilo,US,19.7297,-155.09,92.28,90,100,8.05,moderate rain
126,Nemuro,JP,43.3236,145.575,62.19,80,94,12.37,light rain
127,Arman,RU,59.7,150.1667,62.96,79,100,5.59,overcast clouds
128,Rota,ES,36.6224,-6.3586,82.53,36,0,13.8,clear sky
129,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.44,96,92,2.59,overcast clouds
130,Chapais,CA,49.7834,-74.8492,61.79,60,100,7.31,overcast clouds
131,Kasempa,ZM,-13.4584,25.8338,54.9,65,1,8.28,clear sky
132,Bathsheba,BB,13.2167,-59.5167,83.01,89,75,16.11,broken clouds
133,Mitchell,US,43.7094,-98.0298,84.18,68,0,4.61,clear sky
134,Lake Havasu City,US,34.4839,-114.3224,111.81,16,0,4.0,clear sky
135,La Ronge,CA,55.1001,-105.2842,68.49,54,99,4.61,overcast clouds
136,Katsuura,JP,35.1333,140.3,77.02,89,100,14.12,moderate rain
