City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Trinidad,BO,2022-07-04 17:47:14,-14.8333,-64.9,91.38,52,40,9.22
1,Pangody,RU,2022-07-04 17:47:15,65.85,74.4859,45.37,72,61,7.61
2,Boa Vista,BR,2022-07-04 17:47:16,2.8197,-60.6733,82.38,65,75,17.27
3,Ushuaia,AR,2022-07-04 17:47:16,-54.8,-68.3,37.06,87,100,3.44
4,Georgetown,MY,2022-07-04 17:43:45,5.4112,100.3354,76.95,96,40,5.01
5,Thompson,CA,2022-07-04 17:45:13,55.7435,-97.8558,59.16,58,75,6.91
6,Hobart,AU,2022-07-04 17:47:17,-42.8794,147.3294,46.26,88,40,9.22
7,Athabasca,CA,2022-07-04 17:45:29,54.7169,-113.2854,68.41,63,94,9.6
8,Krasnyy Chikoy,RU,2022-07-04 17:47:17,50.3643,108.7512,53.13,88,38,2.26
9,Saint-Paul,RE,2022-07-04 17:47:17,-21.0096,55.2707,69.89,72,50,1.74
10,Cape Town,ZA,2022-07-04 17:45:53,-33.9258,18.4232,62.38,73,0,8.05
11,Hualmay,PE,2022-07-04 17:47:18,-11.0964,-77.6139,67.06,71,66,10.65
12,Punta Arenas,CL,2022-07-04 17:44:35,-53.15,-70.9167,33.91,93,0,16.11
13,Goya,AR,2022-07-04 17:47:19,-29.14,-59.2626,67.28,81,100,5.1
14,Cidreira,BR,2022-07-04 17:47:19,-30.1811,-50.2056,68.34,83,55,3.65
15,Caravelas,BR,2022-07-04 17:47:20,-17.7125,-39.2481,77.25,68,25,8.86
16,Chokurdakh,RU,2022-07-04 17:47:20,70.6333,147.9167,58.82,56,100,12.26
17,Shasta Lake,US,2022-07-04 17:47:24,40.6804,-122.3708,74.35,45,89,1.01
18,Gusau,NG,2022-07-04 17:47:24,12.1628,6.6614,85.44,51,100,1.77
19,Luderitz,NA,2022-07-04 17:47:25,-26.6481,15.1594,56.37,78,0,8.03
20,Rikitea,PF,2022-07-04 17:47:26,-23.1203,-134.9692,73.76,71,28,3.04
21,Mataura,NZ,2022-07-04 17:47:26,-46.1927,168.8643,46.31,79,74,6.04
22,Hue,VN,2022-07-04 17:47:27,16.4667,107.6,84.31,74,40,3.44
23,Berlevag,NO,2022-07-04 17:47:27,70.8578,29.0864,48.2,93,100,5.75
24,Avarua,CK,2022-07-04 17:47:28,-21.2078,-159.775,64.45,100,7,1.14
25,Kapaa,US,2022-07-04 17:44:36,22.0752,-159.319,78.78,86,75,18.41
26,Bluff,NZ,2022-07-04 17:47:29,-46.6,168.3333,50.81,78,65,19.89
27,Hilo,US,2022-07-04 17:47:29,19.7297,-155.09,81.28,88,75,5.75
28,Upernavik,GL,2022-07-04 17:47:29,72.7868,-56.1549,38.73,73,8,11.86
29,Busselton,AU,2022-07-04 17:47:30,-33.65,115.3333,63.46,73,70,22.28
30,Montepuez,MZ,2022-07-04 17:47:30,-13.1256,38.9997,69.03,61,43,8.28
31,Tsiroanomandidy,MG,2022-07-04 17:47:30,-18.7667,46.0333,59.38,64,0,1.92
32,Roald,NO,2022-07-04 17:47:31,62.5833,6.1333,59.76,88,40,16.11
33,Saint-Joseph,RE,2022-07-04 17:47:31,-21.3667,55.6167,66.2,74,36,11.18
34,Yellowknife,CA,2022-07-04 17:45:07,62.456,-114.3525,66.72,45,20,6.91
35,Bredasdorp,ZA,2022-07-04 17:47:31,-34.5322,20.0403,49.01,83,0,3.6
36,Atuona,PF,2022-07-04 17:47:31,-9.8,-139.0333,77.85,68,66,25.48
37,Castro,BR,2022-07-04 17:47:32,-24.7911,-50.0119,73.94,42,1,6.15
38,Saskylakh,RU,2022-07-04 17:47:32,71.9167,114.0833,39.38,79,81,12.77
39,Ancud,CL,2022-07-04 17:47:32,-41.8697,-73.8203,45.23,91,100,26.93
40,Cherskiy,RU,2022-07-04 17:47:33,68.75,161.3,57.38,60,88,7.94
41,Tiksi,RU,2022-07-04 17:47:33,71.6872,128.8694,42.24,96,92,1.95
42,Pancas,BR,2022-07-04 17:47:33,-19.225,-40.8514,77.65,50,76,4.45
43,Broome,US,2022-07-04 17:58:16,42.2506,-75.833,83.01,47,4,5.01
44,Hay River,CA,2022-07-04 17:58:16,60.8156,-115.7999,66.18,52,75,8.05
45,Kodiak,US,2022-07-04 17:58:16,57.79,-152.4072,53.67,90,100,2.28
46,Merauke,ID,2022-07-04 17:58:18,-8.4667,140.3333,77.23,89,100,10.18
47,Mahebourg,MU,2022-07-04 17:58:18,-20.4081,57.7,70.25,77,20,10.36
48,Siilinjarvi,FI,2022-07-04 17:58:18,63.0833,27.6667,77.02,41,0,2.3
49,Komsomolskiy,UZ,2022-07-04 17:58:19,40.4272,71.7189,88.52,18,0,23.02
50,Garowe,SO,2022-07-04 17:58:19,8.4054,48.4845,82.4,40,57,27.58
51,Bandarbeyla,SO,2022-07-04 17:58:19,9.4942,50.8122,83.5,54,40,32.12
52,Saldanha,ZA,2022-07-04 17:58:20,-33.0117,17.9442,51.85,76,0,11.68
53,San Quintin,MX,2022-07-04 17:58:20,30.4833,-115.95,69.89,65,52,16.69
54,Chuy,UY,2022-07-04 17:58:20,-33.6971,-53.4616,56.37,98,100,6.13
55,Agadez,NE,2022-07-04 17:58:21,19.75,10.25,98.4,10,0,10.71
56,Asuncion,PY,2022-07-04 17:58:22,-25.3007,-57.6359,87.24,42,0,12.66
57,Lata,PT,2022-07-04 17:58:22,40.1629,-8.3327,71.82,53,4,8.12
58,Shu,KZ,2022-07-04 17:58:22,43.5983,73.7614,75.36,41,50,8.57
59,Kaitangata,NZ,2022-07-04 17:58:23,-46.2817,169.8464,44.85,78,66,7.38
60,Hithadhoo,MV,2022-07-04 17:58:23,-0.6,73.0833,81.77,73,48,1.48
61,Butaritari,KI,2022-07-04 17:58:23,3.0707,172.7902,83.25,74,100,20.4
62,Rio Verde De Mato Grosso,BR,2022-07-04 17:58:24,-18.9181,-54.8442,91.0,22,66,7.72
63,Shiyan,CN,2022-07-04 17:58:24,32.6475,110.7781,74.97,95,84,1.92
64,Alta Floresta,BR,2022-07-04 17:58:25,-9.8756,-56.0861,94.82,29,0,11.5
65,Lebu,CL,2022-07-04 17:58:25,-37.6167,-73.65,52.25,71,65,15.48
66,Carnarvon,AU,2022-07-04 17:58:25,-24.8667,113.6333,64.36,31,0,7.87
67,Nosy Varika,MG,2022-07-04 17:58:26,-20.5833,48.5333,67.37,90,77,3.65
68,Airai,TL,2022-07-04 17:57:31,-8.9266,125.4092,57.76,95,100,4.38
69,Iqaluit,CA,2022-07-04 17:58:26,63.7506,-68.5145,51.53,57,100,11.5
70,Tunceli,TR,2022-07-04 17:58:26,39.1083,39.5471,71.26,30,0,7.29
